,SoS Name,VEST Name,County
0,Precinct No. 9 - NS Ballot #1 ,Dicksinon 9,Dickinson
1,Precinct No. 7 ,Dickinson 7,Dickinson
2,Precinct No. 4 - NS Ballot #1,Dickinson 4,Dickinson
3,Precinct No. 6 - NS Ballot #1,Dickinson 6,Dickinson
4,Precinct No. 14 - S Ballot #1,Dickinson 14 - Spirit Lake West,Dickinson
5,Precinct No. 10,Dickinson 10,Dickinson
6,Precinct No. 12,Dickinson 12,Dickinson
7,Precinct No. 3,Dickinson 3,Dickinson
8,Precinct No. 11,Dickinson 11,Dickinson
9,Precinct No. 1,Dickinson 1,Dickinson
10,Precinct No. 2,Dickinson 2,Dickinson
11,Precinct No. 13 - S Ballot #1,Dickinson 13 - Spirit Lake North,Dickinson
12,Precinct No. 5,Dickinson 5,Dickinson
13,Precinct No. 15,Dickinson 15 - Spirit Lake South,Dickinson
14,Precinct No. 8,Dickinson 8,Dickinson
0,Garfield/Herdland,Garfield/Herdland,Clay
1,Logan/Gillett Grove,Logan/Gillett Grove,Clay
2,Lake/Freeman,Lake/Freeman,Clay
3,Douglas/Peterson,Douglas/Peterson,Clay
4,Lincoln/Clay,Lincoln/Clay,Clay
5,Waterford/Lone Tree,Waterford/Lone Tree,Clay
6,Summit/Riverton/Sioux/Meadow,Summit/Riverton/Sioux/Meadow,Clay
7,Spencer Ward 1,Spencer 1,Clay
8,Spencer Ward 2,Spencer 2,Clay
9,Spencer Ward 3,Spencer 3,Clay
10,Spencer Ward 5,Spencer 5,Clay
11,Spencer Ward 4,Spencer 4,Clay
0,Emmetsburg Ward 2,Emmetsburg 2,Palo Alto
1,Emmetsburg Ward 1,Emmetsburg 1,Palo Alto
2,GR/RV/LI/pt. HL&amp;WL,Palo Alto 6,Palo Alto
3,EM Ward 3/SL/pt. HL&amp;WL&amp;EM,Emmetsburg 3,Palo Alto
4,EMWard4/FV/FF/FR/IN/VN/ptEM,Emmetsburg 4,Palo Alto
5,WB/EL/RL/BO/GO/NV,Palo Alto 5,Palo Alto
0,Harris Precinct,Harris,Osceola
1,May City Precinct,May City,Osceola
2,Melvin Precinct,Melvin,Osceola
3,Ocheyedan Precinct,Ocheyedan,Osceola
4,Ashton Precinct,Ashton,Osceola
5,Osceola 1 Precinct,Osceola 1,Osceola
6,Osceola 2 Precinct,Osceola 2,Osceola
7,Osceola 3 Precinct,Osceola 3,Osceola
0,Little Rock Town and Country Bldg,Lyon County Precinct 6,Lyon
1,Lester City Hall,Lyon County Precinct 5,Lyon
2,Inwood City Hall,Lyon County Precinct 3,Lyon
3,Larchwood City Hall,Lyon County Precinct 4,Lyon
4,Rock Rapids Forster Bldg N,Lyon County Precinct 7,Lyon
5,Doon City Hall,Lyon County Precinct 2,Lyon
6,George Community Center,Lyon County Precinct 1,Lyon
7,Rock Rapids Forster Bldg S,Lyon County Precinct 8,Lyon
0,#6 Cherokee Ward 2,Cherokee city 2,Cherokee
1,#4 Cherokee,Cherokee 4,Cherokee
2,#3 Quimby,Cherokee 3,Cherokee
3,#7 Cherokee Ward 3,Cherokee city 3,Cherokee
4,#5 Cherokee Ward 1,Cherokee city 1,Cherokee
5,#1 Aurelia,Cherokee 1,Cherokee
6,#2 Cleghorn,Cherokee 2,Cherokee
0,Westfield Community Center,Plymouth 6,Plymouth
1,American Bank,Plymouth 2,Plymouth
2,Courthouse Annex,Plymouth 3,Plymouth
3,Brunsville Legion,Plymouth 4,Plymouth
4,Akron Public Library,Plymouth 1,Plymouth
5,Kissinger Community Center,Plymouth 7,Plymouth
6,Kingsley Community Center,Plymouth 10,Plymouth
7,Perry Township Hall,Plymouth 8,Plymouth
8,Le Mars Convention Center 13,Plymouth 13/Le Mars 3,Plymouth
9,Remsen Library,Plymouth 5,Plymouth
10,Hinton Community Center,Plymouth 9,Plymouth
11,Le Mars Convention Center 11,Plymouth 11/Le Mars 1,Plymouth
12,Le Mars Convention Center 12,Plymouth 12/Le Mars 2,Plymouth
0,Carroll-Floyd,O'Brien 1 - Carroll-Floyd,Obrien
1,Sheldon 3rd Ward,O'Brien 6 - Sheldon 3,Obrien
2,Sheldon 2nd Ward,O'Brien 5 - Sheldon 2,Obrien
3,Waterman-Grant-Liberty,O'Brien 9 - Waterman-Grant-Liberty,Obrien
4,Franklin,O'Brien 2 - Franklin,Obrien
5,Union-Baker-Caledonia,O'Brien 8 - Union-Baker-Caledonia,Obrien
6,Summit-Center-Dale-Highland,O'Brien 7 - Summit-Center-Dale-Highland,Obrien
7,Hartley-Lincoln-Omega,O'Brien 3 - Hartley-Lincoln-Omega,Obrien
8,Sheldon 1st Ward,O'Brien 4 - Sheldon 1,Obrien
0,Sherman,Sioux 12,Sioux
1,West Branch/Center North,Sioux 16,Sioux
2,Reading/Center South,Sioux 9,Sioux
3,Floyd/Lynn,"Sioux 2 - Floyd, Lynn",Sioux
4,Grant/Sheridan,"Sioux 3 - Grant, Sheridan",Sioux
5,Plato/Garfield/Settlers/Sioux/Eagle North,Sioux 8,Sioux
6,Rock Valley East,Sioux 10 - Rock Valley East,Sioux
7,Alton/Nassau/East Orange,Sioux 1,Sioux
8,Sioux Center Central,Sioux 14 - Sioux Center Central,Sioux
9,Rock Valley West/Rock,Sioux 11 - Rock Valley West,Sioux
10,Sioux Center North/Capel/Welcome,Sioux 13 - Sioux Center North,Sioux
11,Hawarden/Buncombe/Logan/Washington/Eagle South,Sioux 4,Sioux
12,Lincoln,Sioux 5,Sioux
13,Orange City No. 2/Holland East/Nassau,Sioux 7 - Orange City 2,Sioux
14,Orange City No. 1/Holland West,Sioux 6 - Orange City 1,Sioux
15,Sioux Center South,Sioux 15 - Sioux Center South,Sioux
0,West Precinct,Greene Co West,Greene
1,North Precinct,Greene Co North,Greene
2,Jefferson 1 Precinct,Jefferson Precinct 1,Greene
3,Central Precinct,Greene Co Central,Greene
4,Jefferson 2 Precinct,Jefferson Precinct 2,Greene
5,East Precinct,Greene Co East,Greene
6,Jefferson 3 Precinct,Jefferson Precinct 3,Greene
0,Rural Precinct 5,Boone-Rural Precinct 5,Boone
1,Rural Precinct 3,Boone-Rural Precinct 3,Boone
2,Madrid 3rd Ward,Madrid 3,Boone
3,Madrid 1st Ward,Madrid 1,Boone
4,Madrid 2nd Ward,Madrid 2,Boone
5,Rural Precinct 1,Boone-Rural Precinct 1,Boone
6,Ogden,Boone-City of Ogden,Boone
7,Rural Precinct 6,Boone-Rural Precinct 6,Boone
8,Rural Precinct 2,Boone-Rural Precinct 2,Boone
9,Rural Precinct 4,Boone-Rural Precinct 4,Boone
10,Boone 1st Ward,Boone 1,Boone
11,Boone 5th Ward,Boone 5,Boone
12,Boone 2nd Ward,Boone 2,Boone
13,Boone 3rd Ward,Boone 3,Boone
14,Boone 4th Ward &amp;amp; DSM Twp,Boone-Rural and Boone City 4,Boone
0,PRECINCT 2,Hamilton 2 - BL-LB-WM,Hamilton
1,PRECINCT 5,Hamilton 5 - LC-RG-SC,Hamilton
2,PRECINCT 1,Hamilton 1 - CA-FD-FMN-IN,Hamilton
3,WEBSTER CITY 3,Webster City 3,Hamilton
4,PRECINCT 4,Hamilton 4 - LY-EL,Hamilton
5,PRECINCT 3,Hamilton 3 - CL-HA-MN-WB,Hamilton
6,WEBSTER CITY 1,Webster City 1,Hamilton
7,WEBSTER CITY 2,Webster City 2,Hamilton
0,Cooper Township,Cooper,Webster
1,Newark,Newark,Webster
2,Washington Township,Washington,Webster
3,Johnson,Johnson,Webster
4,Lost Grove,Lost Grove,Webster
5,Fulton,Fulton,Webster
6,Fort Dodge #6,Fort Dodge 6,Webster
7,Colfax-Duncombe,Colfax/Duncombe,Webster
8,Clay-Roland,Clay/Roland,Webster
9,Elkhorn Township,Elkhorn,Webster
10,Deer Creek-Jackson,Deer Creek/Jackson,Webster
11,Sumner-Webster-Yell- Hardin,Sumner/Webster/Yell/Hardin,Webster
12,Fort Dodge #5,Fort Dodge 5,Webster
13,Gowrie,Gowrie,Webster
14,Douglas Township,Douglas,Webster
15,Fort Dodge #7,Fort Dodge 7,Webster
16,Fort Dodge #8,Fort Dodge 8,Webster
17,Fort Dodge #9,Fort Dodge 9,Webster
18,Dayton-Burnside,Dayton-Burnside,Webster
19,Otho-Pleasant Valley,Otho/Pleasant Valley,Webster
20,Badger-NW Cooper,Badger,Webster
21,Fort Dodge #3,Fort Dodge 3,Webster
22,Fort Dodge #4,Fort Dodge 4,Webster
23,Fort Dodge #12,Fort Dodge 12,Webster
24,Fort Dodge #10,Fort Dodge 10,Webster
25,Fort Dodge #2,Fort Dodge 2,Webster
26,Fort Dodge #1,Fort Dodge 1,Webster
27,Fort Dodge #11,Fort Dodge 11,Webster
0,PRECINCT 2,Grundy precinct 2,Grundy
1,PRECINCT 4,Grundy precinct 4,Grundy
2,PRECINCT 3,Grundy Precinct 3,Grundy
3,PRECINCT 1,Grundy precinct 1,Grundy
4,PRECINCT 7,Grundy precinct 7,Grundy
5,PRECINCT 5,Grundy Precinct 5,Grundy
6,PRECINCT 6,Grundy Precinct 6,Grundy
0,Alden/Buckeye,Hardin County Alden/ Buckeye Precinct,Hardin
1,Hardin/Ellis/Jackson,Hardin County Hardin/ Ellis/ Jackson Pct,Hardin
2,Eldora/Pleasant/Providence/Union,Hardin Cnty Eldora/ Pleasant/ Provid/ Union,Hardin
3,Iowa Falls #1,Hardin County Iowa Falls 1 Precinct,Hardin
4,Eldora City,Hardin County Eldora City Precinct,Hardin
5,Etna/Clay,Hardin County Etna/ Clay Precinct,Hardin
6,Concord/Sherman/Grant/Tipton,Hardin Cnty Concord/ Sherman/ Grant/ Tipton,Hardin
7,Iowa Falls #2,Hardin County Iowa Falls 2 Precinct,Hardin
0,8-NH,Butler 8 - NH,Butler
1,3-DU,Butler 3 - DU,Butler
2,4-AL,Butler 4 - AL,Butler
3,5-AP,Butler 5 - AP,Butler
4,1-GR,Butler 1 - GR,Butler
5,2-CL,Butler 2 - CL,Butler
6,7-PB,Butler 7 - PB,Butler
7,6-SR,Butler 6 - SR,Butler
0,Scott - Union - Pleasant Grove,Scott-Union-Pleasant Grove,Floyd
1,Rockford - Ulster,Rockford-Ulster,Floyd
2,Floyd - Cedar - Niles,Floyd-Cedar-Niles,Floyd
3,Charles City Corp / CC3,Charles City 3,Floyd
4,Charles City Corp / CC1,Charles City 1,Floyd
5,St. Charles - Riverton,St. Charles-Riverton,Floyd
6,Rock Grove - Rudd,Rock Grove-Rudd,Floyd
7,Charles City Corp / CC2,Charles City 2,Floyd
0,Grimes Twp - Meservey Pct,Grimes-Meservey,Cerro Gordo
1,Grimes Twp - Thornton Pct,Grimes-Thornton,Cerro Gordo
2,Falls Twp - Rock Falls Pct,Falls-Rock Falls,Cerro Gordo
3,Lake / Lincoln Twps Pct,Lake/Lincoln,Cerro Gordo
4,Lime Creek / Mason North Twps Pct,Lime Creek/Mason North,Cerro Gordo
5,Falls Twp - Plymouth Pct,Falls/Plymouth,Cerro Gordo
6,Mason South / Bath Twps Pct,Mason South/Bath,Cerro Gordo
7,Mt Vernon / Pleasant Valley Twps Pct,Mount Vernon/Pleasant Valley,Cerro Gordo
8,Portland / Owen / Dougherty Twps Pct,Portland/Owen/Dougherty,Cerro Gordo
9,Geneseo Twp Pct,Geneseo,Cerro Gordo
10,Mason City W-2 P-1,Mason City ward 2 precinct 1,Cerro Gordo
11,Mason City W-1 P-1,Mason City ward 1 precinct 1,Cerro Gordo
12,Mason City W-4 P-1,Mason City ward 4 precinct 1,Cerro Gordo
13,Mason City W-2 P-3,Mason City ward 2 precinct 3,Cerro Gordo
14,Mason City W-3 P-2,Mason City ward 3 precinct 2,Cerro Gordo
15,Mason City W-4 P-2,Mason City ward 4 precinct 2,Cerro Gordo
16,Mason City W-3 P-1,Mason City ward 3 precinct 1,Cerro Gordo
17,Mason City W-1 P-2,Mason City ward 1 precinct 2,Cerro Gordo
18,Clear Lake Ward 3,Clear Lake 3,Cerro Gordo
19,Mason City W-1 P-3,Mason City ward 1 precinct 3,Cerro Gordo
20,Clear Lake / Grant / Union Twps Pct,Clear Lake/Grant/Union,Cerro Gordo
21,Mason City W-4 P-3,Mason City ward 4 precinct 3,Cerro Gordo
22,Clear Lake Ward 1,Clear Lake 1,Cerro Gordo
23,Clear Lake Ward 2,Clear Lake 2,Cerro Gordo
24,Mason City W-2 P-2,Mason City ward 2 precinct 2,Cerro Gordo
25,Mason City W-3 P-3,Mason City ward 3 precinct 3,Cerro Gordo
0,WASHINGTON 1,Washington,Chickasaw
1,CHICKASAW,Chickasaw,Chickasaw
2,JACKSONVILLE - UTICA,Jasonville-Utica,Chickasaw
3,New Hampton Ward 2,New Hampton 2,Chickasaw
4,DEERFIELD - WASHINGTON 2,Deerfield-Washington,Chickasaw
5,DAYTON - RICHLAND,Dayton-Richland,Chickasaw
6,NEW HAMPTON RURAL,New Hampton,Chickasaw
7,New Hampton Ward 1,New Hampton 1,Chickasaw
8,STAPLETON,Stapleton,Chickasaw
9,New Hampton Ward 3,New Hampton 3,Chickasaw
10,New Hampton Ward 4,New Hampton 4,Chickasaw
11,DRESDEN - FREDERICKSBURG,Dresden-Fredericksburg,Chickasaw
12,BRADFORD,Bradford,Chickasaw
0,West Mott,Franklin County Precinct 10,Franklin
1,Wisner / Scott,Franklin County Precinct 12,Franklin
2,Grant / Osceola,Franklin County Precinct 2,Franklin
3,Hampton 1,Franklin County Precinct 4,Franklin
4,Oakland / Morgan,Franklin County Precinct 9,Franklin
5,Hamilton / Lee / Reeve,Franklin County Precinct 3,Franklin
6,Marion,Franklin County Precinct 8,Franklin
7,Geneva / Ingham / East Mott,Franklin County Precinct 1,Franklin
8,Hampton 4,Franklin County Precinct 7,Franklin
9,Hampton 2,Franklin County Precinct 5,Franklin
10,Hampton 3,Franklin County Precinct 6,Franklin
11,Richland / Ross / West Fork,Franklin County Precinct 11,Franklin
0,43 OTO/OTO TWP,Woodbury 43,Woodbury
1,44 CUSHING/ROCK TWP,Woodbury 44,Woodbury
2,42 SMITHLAND/LITTLE SIOUX,Woodbury 42,Woodbury
3,39 HORNICK/WILLOW TWP,Woodbury 39,Woodbury
4,33 PIERSON/RUTLAND TWP,Woodbury 33,Woodbury
5,37 CLIMBING HILL/GRT-WES,Woodbury 37,Woodbury
6,9 BOYS &amp; GIRLS HOME,Woodbury 9/Sioux City 9,Woodbury
7,40 ANTHON/MILLER TWP,Woodbury 40,Woodbury
8,41 DANBURY/LIS-MOR TWP,Woodbury 41,Woodbury
9,11 GIRLS INC,Woodbury 11/Sioux City 11,Woodbury
10,20 AUGUSTANA LUTHERAN,Woodbury 20/Sioux City 20,Woodbury
11,34 C'VILLE/KED-UNI TWP,Woodbury 34,Woodbury
12,38 SLOAN/SLOAN TWP,Woodbury 38,Woodbury
13,8 MT. ZION BAPTIST CHURCH,Woodbury 8/Sioux City 8,Woodbury
14,4 SIOUXLAND CENTER,Woodbury 4/Sioux City 4,Woodbury
15,32 BRONSON/FLO-GRG TWP,Woodbury 32,Woodbury
16,31 SALIX/LIB-LAK TWP,Woodbury 31,Woodbury
17,14 BOYS &amp; GIRLS HOME,Woodbury 14/Sioux City 14,Woodbury
18,13 SC TRANSIT SYSTEM,Woodbury 13/Sioux City 13,Woodbury
19,36 LAWTON/BANNER TWP,Woodbury 36,Woodbury
20,2 CROSS POINTE CHURCH,Woodbury 2/Sioux City 2,Woodbury
21,21 M'SIDE LUTHERAN CHURCH,Woodbury 21/Sioux City 21,Woodbury
22,7 BRYANT/CRESCENT PARK,Woodbury 7/Sioux City 7,Woodbury
23,16 TRIMBLE UNITED METH CH,Woodbury 16/Sioux City 16,Woodbury
24,5 RIVERSIDE LUTHERAN,Woodbury 5/Sioux City 5,Woodbury
25,25 M'SIDE COLLEGE EPPLEY,Woodbury 25/Sioux City 25,Woodbury
26,23 IGLESIA RESTAURACION,Woodbury 23/Sioux City 23,Woodbury
27,6 FAITH LUTHERAN CHURCH,Woodbury 6/Sioux City 6,Woodbury
28,24 WASHINGTON HEIGHTS,Woodbury 24/Sioux City 24,Woodbury
29,18 CALVARY LUTHERAN,Woodbury 18/Sioux City 18,Woodbury
30,27 ST JAMES UNITED METH.,Woodbury 27/Sioux City 27,Woodbury
31,35 MOVILLE/ARL-MOV-WOL TW,Woodbury 35,Woodbury
32,30 SGT BLUFF WEST,Woodbury 30,Woodbury
33,3 CONCORDIA LUTHERAN,Woodbury 3/Sioux City 3,Woodbury
34,1 CHURCH OF JESUS CHRIST,Woodbury 1/Sioux City 1,Woodbury
35,22 MORNINGSIDE LIBRARY,Woodbury 22/Sioux City 22,Woodbury
36,15 PEACE REFORMED/CONCORD,Woodbury 15,Woodbury
37,12 ST JOHN LUTHERAN,Woodbury 12/Sioux City 12,Woodbury
38,17 SC BAPTIST CHURCH,Woodbury 17/Sioux City 17,Woodbury
39,26 MSIDE BIBLE CHURCH,Woodbury 26/Sioux City 26,Woodbury
40,10 FIRST CONGREGATIONAL,Woodbury 10/Sioux City 10,Woodbury
41,19 CENTRAL BAPTIST CHURCH,Woodbury 19/Sioux City 19,Woodbury
42,29 SGT BLUFF EAST/WDBY,Woodbury 29,Woodbury
43,28 REDEEMER LUTHERAN,Woodbury 28,Woodbury
0,CR 1,Kossuth 15,Kossuth
1,UN,Kossuth 8,Kossuth
2,"IV, PC",Kossuth 10,Kossuth
3,LC,Kossuth 7,Kossuth
4,"GW, SN",Kossuth 3,Kossuth
5,PC,Kossuth 9,Kossuth
6,CR 2,Kossuth 16,Kossuth
7,"LV, SM",Kossuth 14,Kossuth
8,"HB, LY, LN, SF",Kossuth 2,Kossuth
9,"PR, WL",Kossuth 11,Kossuth
10,"BF, PT",Kossuth 6,Kossuth
11,"GF, WM",Kossuth 12,Kossuth
12,"GM, RM",Kossuth 4,Kossuth
13,"EG, GT, HS, SW",Kossuth 1,Kossuth
14,"CR, IV, RV",Kossuth 13,Kossuth
15,AL1,Kossuth 17/Algona 1,Kossuth
16,AL4,Kossuth 20/Algona 4,Kossuth
17,"BT, FT, UN",Kossuth 5,Kossuth
18,AL3,Kossuth 19/Algona 3,Kossuth
19,AL2,Kossuth 18/Algona 2,Kossuth
0,Precinct #10,Hancock County Precinct 10,Hancock
1,Precinct #5,Hancock County Precinct 5,Hancock
2,Precinct #3,Hancock County Precinct 3,Hancock
3,Precinct #2,Hancock County Precinct 2,Hancock
4,Precinct #8,Hancock County Precinct 8,Hancock
5,Precint #7,Hancock County Precinct 7,Hancock
6,Precinct #9,Hancock County Precinct 9,Hancock
7,Precinct #1,Hancock County Precinct 1,Hancock
8,Precinct #4,Hancock County Precinct 4,Hancock
9,Precinct #6,Hancock County Precinct 6,Hancock
0,Eagle Grove #1,Eagle Grove ward 1,Wright
1,Eagle Grove #2,Eagle Grove ward 2,Wright
2,Eagle Grove #4,Eagle Grove ward 4,Wright
3,Dows,Dows,Wright
4,Rural Eagle Grove,Rural Eagle Grove,Wright
5,Goldfield,Goldfield,Wright
6,Eagle Grove #3,Eagle Grove ward 3,Wright
7,Big 6,Big 6,Wright
8,Clarion,Clarion,Wright
9,Belmond,Belmond,Wright
0,EL-LN-Dolliver,Emmet County Precinct 4,Emmet
1,CN-SL-Gruver,Emmet County Precinct 2,Emmet
2,DM-JC-Ringsted,Emmet County Precinct 3,Emmet
3,Emmet-Estherville,Emmet County Precinct 5,Emmet
4,HL-TM-Wallingford,Emmet County Precinct 11,Emmet
5,Estherville Ward 5,Estherville Precinct/ Ward 5,Emmet
6,Estherville Ward 4,Estherville Precinct/ Ward 4,Emmet
7,Estherville Ward 2,Estherville Precinct/ Ward 2,Emmet
8,Estherville Ward 3,Estherville Precinct/ Ward 3,Emmet
9,AG-IL-Armstrong,Emmet County Precinct 1,Emmet
10,Estherville Ward 1,Estherville Precinct/ Ward 1,Emmet
0,Mt. Valley Forest D2,Winnebago Precinct 2-3,Winnebago
1,Eden Logan Norway,Winnebago Precinct 2-1,Winnebago
2,King Linden,Winnebago Precinct 3-2,Winnebago
3,Forest City Ward 4,Winnebago Precinct 1-4,Winnebago
4,Forest City Ward 2,Winnebago Precinct 1-3,Winnebago
5,Newton Forest D1,Winnebago Precinct 1-1,Winnebago
6,FC3 Forest D3,Winnebago Precinct 3-3,Winnebago
7,Forest City Ward 1,Winnebago Precinct 1-2,Winnebago
8,Buffalo Grant Lincoln,Winnebago Precinct 3-1,Winnebago
9,Center,Winnebago Precinct 2-2,Winnebago
0,Cedar,Calhoun County Precinct 3,Calhoun
1,Greenfield &amp;amp; Lincoln 2,Calhoun County Precinct 5,Calhoun
2,Union,Calhoun County Precinct 10,Calhoun
3,Reading,Calhoun County Precinct 7,Calhoun
4,Sherman,Calhoun County Precinct 9,Calhoun
5,"Center, Logan, Twin Lakes, Garfield and Lake Creek",Calhoun County Precinct 4,Calhoun
6,Butler Williams,Calhoun County Precinct 1,Calhoun
7,Rockwell City,Calhoun County Precinct 8,Calhoun
8,Lincoln 1,Calhoun County Precinct 6,Calhoun
9,"Calhoun, Jackson, Elm Grove, &amp;amp; Lake City",Calhoun County Precinct 2,Calhoun
0,South Lake-North Norway,Humboldt County S Lake/ N Norway Pct,Humboldt
1,North Lake-East Vernon,Humboldt County North Lake East Vernon Pct,Humboldt
2,Avery-North Weaver,Humboldt County Avery/North Weaver Precinct,Humboldt
3,Humboldt-West Vernon,Humboldt County Humboldt West Vernon Precin,Humboldt
4,Delana-Wacousta-N. Rutland,Humboldt County Wacousta/ Delana/ N Rutland,Humboldt
5,Dakota City-Grove,Humboldt County Dakota City/ Grove Pct,Humboldt
6,Humboldt 2-Beaver-S. Norway,Humboldt County Precinct 2,Humboldt
7,Humboldt 3-South Rutland,Humboldt County Precinct 3,Humboldt
8,Humboldt 1-Corinth-S. Weaver,Humboldt County Precinct 1,Humboldt
0,Grant-S Marshall-S Sherman,Pocahontas County Precinct 3,Pocahontas
1,Poc #2 - Cent - S Roos - N Lin - N Lake - S Gar,Pocahontas County Precinct 5,Pocahontas
2,Bellville- Lizard - S Lincoln - S Lake,Pocahontas County Precinct 7,Pocahontas
3,Cedar - Colfax - Dover,Pocahontas County Precinct 6,Pocahontas
4,Swan Lake-N Marshall,Pocahontas County Precinct 1,Pocahontas
5,DM - Cum - Pow - N Gar -N Sher- N Roos,Pocahontas County Precinct 2,Pocahontas
6,Pocahontas #1,Pocahontas County Precinct 4,Pocahontas
0,SL02,Storm Lake 2,Buena Vista
1,TRWG,Truesdale-Washington-Grant,Buena Vista
2,ACFC,Albert City-Fairfield-Coon,Buena Vista
3,NENP,Newell-Newell-Providence,Buena Vista
4,LKHM,Lakeside-Hayes-Maple Valley,Buena Vista
5,SL01,Storm Lake 1,Buena Vista
6,SL04,Storm Lake 4,Buena Vista
7,SL03,Storm Lake 3,Buena Vista
8,ALNE,Alta-Nokomis-Elk,Buena Vista
9,SMLR,Sioux Rapids-Marathon-Linn Grove-Rembrandt,Buena Vista
0,Nemaha,Nemaha,Sac
1,Auburn,Auburn,Sac
2,Lytton,Lytton,Sac
3,Early,Early,Sac
4,Wall Lake,Wall Lake,Sac
5,Schaller,Schaller,Sac
6,Odebolt,Odebolt,Sac
7,Lake View,Lake View,Sac
8,Sac City,Sac City,Sac
0,Precinct #2 - South 1/2,Exira,Audubon
1,Precinct #1 - North 1/2,Audubon,Audubon
0,Charter Oak,Charter Oak,Crawford
1,DCAB Precinct,"Dow City, Arion, and Buck Grove",Crawford
2,SRK Precinct,"Schleswig, Ricketts, and Kiron",Crawford
3,Denison 1st Ward,Denison 1,Crawford
4,Northeast Precinct,Northeast,Crawford
5,Denison 2nd Ward - Denison Township,Denison 2,Crawford
6,Southeast Precinct,Southeast,Crawford
7,Denison 3rd Ward - Goodrich Township,Denison 3,Crawford
0,Eden Precinct,Carroll Precinct 12,Carroll
1,Arcadia Precinct,Carroll Precinct 7,Carroll
2,Pleasant Valley-Newton Precinct,Carroll Precinct 10,Carroll
3,Washington-Roselle Precinct,Carroll Precinct 9,Carroll
4,Wheatland-Kniest Precinct,Carroll Precinct 5,Carroll
5,Sheridan-Grant-Jasper Precinct,Carroll Precinct 6,Carroll
6,Union Precinct,Carroll Precinct 13,Carroll
7,Glidden-Richland Precinct,Carroll Precinct 8,Carroll
8,Ewoldt Precinct,Carroll Precinct 11,Carroll
9,Carroll Ward Four,Carroll Precinct 4,Carroll
10,Carroll Ward Three &amp; S1/2 Maple River,Carroll Precinct 3,Carroll
11,Carroll Ward One,Carroll Precinct 1,Carroll
12,Carroll Ward Two &amp;amp; N1/2 Maple River,Carroll Precinct 2,Carroll
0,Harlan Ward 1,Harlan 1,Shelby
1,Harlan Ward 4,Harlan 4,Shelby
2,Shelby Hall,Fairview-Shelby,Shelby
3,Library Elk Horn,Clay-Monroe,Shelby
4,Irwin Hall,Douglas-Greeley-Jefferson-Polk,Shelby
5,Harlan Ward 2,Harlan 2,Shelby
6,Harlan Ward 3,Harlan 3,Shelby
7,Therkildsen-Harlan,Cass-Center-Jackson-Lincoln,Shelby
8,St. Josephs Hall Earling,Grove-Union-Washington-Westphalia,Shelby
0,#1 Little Sioux,Harrison 1,Harrison
1,#6 Boyer/Lincoln,Harrison 6,Harrison
2,#2 Pisgah,Harrison 2,Harrison
3,#4 Mondamin,Harrison 4,Harrison
4,#8 Modale,Harrison 8,Harrison
5,#9 Jefferson/LaGrange,Harrison 9,Harrison
6,#5 Magnolia,Harrison 5,Harrison
7,#13 Persia,Harrison 13,Harrison
8,#10 Logan,Harrison 10,Harrison
9,#3 Dunlap,Harrison 3,Harrison
10,#11 St John,Harrison 11,Harrison
11,#7 Woodbine,Harrison 7,Harrison
12,#12 Missouri Valley,Harrison 12,Harrison
0,Castana-Center-Jordan,CN002,Monona
1,St. Clair-Ute,STC11,Monona
2,Onawa Ward 1,ON106,Monona
3,Onawa Ward 4,ON409,Monona
4,Sherman-SE Franklin-Blencoe-Sioux,SH010,Monona
5,Onawa Ward 3,ON308,Monona
6,Onawa Ward 2 -NE Franklin,ON207,Monona
7,Moorhead-Soldier-Soldier City-Spring Valley-Willow,MH005,Monona
8,AS-BV-KB-LN-NW FR-TU,AS001,Monona
9,Fairview-Grant-Lake-Rodney-West Fork-Whiting,FV004,Monona
10,Cooper-Maple-Mapleton,CP003,Monona
0,Galva City / Galva Twp,Ida 5,Ida
1,Ida Grove Ward 1,Ida 1 - Ida Grove 1,Ida
2,Ida Grove Ward 2,Ida 2 - Ida Grove 2,Ida
3,Arthur / Blaine / Hayes / Silver Creek,Ida 4,Ida
4,Ida Grove Ward 3 / Corwin,Ida 3 - Ida Grove 3,Ida
5,Battle Creek / MP / GF / GR / BT / LG,Ida 7,Ida
6,Holstein / Griggs / Douglas,Ida 6,Ida
0,DES MOINES 72,Des Moines Precinct 72,Polk
1,MADISON,Madison Precinct 1,Polk
2,GRANGER,Polk County Granger 1,Polk
3,DES MOINES 48,Des Moines Precinct 48,Polk
4,ALLEN,Polk County Allen 1,Polk
5,DES MOINES 67,Des Moines Precinct 67,Polk
6,SHELDAHL,Polk County Union Sheldahl,Polk
7,WASHINGTON,Polk County Washington,Polk
8,DELAWARE 2,Polk County Delaware 2,Polk
9,WEBSTER,Polk County Webster 1,Polk
10,DES MOINES 34,Des Moines Precinct 34,Polk
11,DES MOINES 35,Des Moines Precinct 35,Polk
12,DES MOINES 49,Des Moines Precinct 49,Polk
13,DES MOINES 5,Des Moines Precinct 5,Polk
14,DES MOINES 19,Des Moines Precinct 19,Polk
15,DES MOINES 53,Des Moines Precinct 53,Polk
16,DES MOINES 18,Des Moines Precinct 18,Polk
17,ALLEMAN,Polk County Alleman 1,Polk
18,DES MOINES 74,Des Moines Precinct 74,Polk
19,DES MOINES 33,Des Moines Precinct 33,Polk
20,DES MOINES 52,Des Moines Precinct 52,Polk
